Cameron Diaz,tt0119738,tt0129387,tt0160127,tt0259711
Michael Douglas,tt0478970,tt0093010,tt0094291,tt1291580
David Duchovny,tt0443701,tt0904208,tt0120902,tt0106179
Clint Eastwood,tt0112579,tt0105695,tt0405159,tt1205489
Erika Eleniak,tt0083866,tt0094761,tt0106400,tt0105690
Cary Elwes,tt0107977,tt0387564,tt0093779,tt0119468
Sherilyn Fenn,tt0098936,tt0100935,tt0092240,tt0105046
Ralph Fiennes,tt2278388,tt1201607,tt0108052,tt0387131
Colin Firth,tt1504320,tt1315981,tt2802144,tt0243155
Harrison Ford,tt0082971,tt0106977,tt0090329,tt0118571
Jodie Foster,tt0102926,tt0476964,tt0075314,tt0118884
Michael J. Fox,tt0096874,tt0088763,tt0115369,tt0116365
Morgan Freeman,tt0097239,tt0405159,tt0114369,tt1057500
Richard Gere,tt0100405,tt0119395,tt0299658,tt0358135
Gina Gershon,tt1726669,tt0119094,tt0114436,tt0115736
Mel Gibson,tt0118883,tt0117438,tt0112573,tt0104714
Whoopi Goldberg,tt0099653,tt0105417,tt0088939,tt0108147
Jeff Goldblum,tt0107290,tt2278388,tt0091064,tt0116629
Linda Hamilton,tt0088247,tt0103064,tt0118928,tt6450804
Teri Hatcher,tt0120347,tt0106057,tt0410975,tt0327597
Ethan Hawke,tt0381681,tt2209418,tt0112471,tt0139654
Salma Hayek,tt0120655,tt0120679,tt0112851,tt0120891
Anne Heche,tt0120885,tt0120461,tt0119008,tt0120828
Dustin Hoffman,tt0064665,tt0084805,tt0061722,tt0095953
Anthony Hopkins,tt0412080,tt0102926,tt0975645,tt0212985
Ron Howard,tt0367279,tt0112384,tt0268978,tt0870111
Helen Hunt,tt0117998,tt0119822,tt0103484,tt0162222
Elizabeth Hurley,tt0118655,tt0230030,tt0105104,tt0145660
Samuel L. Jackson,tt0110912,tt0417148,tt2802144,tt3460252
Tommy Lee Jones,tt0106977,tt0443272,tt0477348,tt2398231
Milla Jovovich,tt1220634,tt1220198,tt0119116,tt0120804
Ashley Judd,tt0150377,tt0352277,tt0470705,tt0113277
Harvey Keitel,tt0103759,tt2278388,tt0110912,tt0105236
Nicole Kidman,tt0203009,tt0274558,tt0935075,tt0159365
Val Kilmer,tt0373469,tt0120053,tt0101761,tt0235737
Nastassja Kinski,tt0083722,tt0080009,tt0087884,tt0111400
Kevin Kline,tt0106673,tt0095159,tt0120891,tt0113117
Diane Lane,tt0328589,tt2096673,tt0086066,tt0250797
Jude Law,tt0346156,tt2278388,tt0134119,tt0376541
Heather Locklear,tt0098193,tt0380623,tt0119695,tt0103491
Jennifer Lopez,tt0120094,tt0299930,tt0209958,tt0118615
Traci Lords,tt0099329,tt1984153,tt0120611,tt1007028
Dolph Lundgren,tt0113481,tt0089927,tt0105698,tt0093507
Jenny McCarthy,tt0134084,tt0327643,tt0131857,tt0455967
Matthew McConaughey,tt1935179,tt0790636,tt1726669,tt1915581
Ewan McGregor,tt0117951,tt0203009,tt1322269,tt2763304
Alyssa Milano,tt0088944,tt0086827,tt0116287,tt0158552
Demi Moore,tt0119173,tt0107211,tt0099653,tt0305357
Julianne Moore,tt0175880,tt0842926,tt3316960,tt0297884
Bill Murray,tt0335266,tt0128445,tt0362270,tt1748122
Mike Myers,tt0295178,tt0118655,tt0145660,tt0811138
Jack Nicholson,tt0071315,tt0119822,tt0407887,tt0073486
Gary Oldman,tt0468569,tt1340800,tt4555426,tt0103874
Al Pacino,tt0068646,tt0072890,tt0099422,tt0070666
Bill Paxton,tt0117998,tt0090605,tt0264616,tt0112384
Michelle Pfeiffer,tt0427327,tt0106226,tt0117247,tt0161081
Ryan Phillippe,tt0202677,tt0139134,tt0375679,tt0280707
River Phoenix,tt0096018,tt0091557,tt0092005,tt0102494
Natalie Portman,tt0376541,tt0434409,tt0947798,tt0110413
Parker Posey,tt0348150,tt0134084,tt0406759,tt0359013
Keanu Reeves,tt0234215,tt0111257,tt0133093,tt0102685
Christina Ricci,tt0462200,tt0112642,tt0118789,tt0114011
Molly Ringwald,tt0095169,tt0091790,tt0088847,tt0088128
Tim Robbins,tt0091225,tt0327056,tt0111161,tt0105151
Julia Roberts,tt0100405,tt0119738,tt0195685,tt0376541
Mimi Rogers,tt0488085,tt0329028,tt0210070,tt0120738
Meg Ryan,tt0098635,tt0120632,tt0108160,tt0128853
Winona Ryder,tt0172493,tt0110367,tt0097493,tt0099487
Mia Sara,tt0111438,tt0312098,tt0089469,tt0091042
Susan Sarandon,tt0094812,tt0120686,tt0112818,tt0103074
Arnold Schwarzenegger,tt0107362,tt0103064,tt0093773,tt0216216
Kristin Scott Thomas,tt0109831,tt0116209,tt0280707,tt1602613
Joan Severance,tt0098282,tt0099141,tt0112519,tt0115696
Charlie Sheen,tt0107144,tt0108333,tt0094291,tt0369179
Brooke Shields,tt0080453,tt0078111,tt0080116,tt0115376
Elisabeth Shue,tt0087538,tt0113627,tt0120053,tt0092513
Alicia Silverstone,tt0124298,tt0118688,tt0112697,tt0106627
Christian Slater,tt4158110,tt0108399,tt0115759,tt0124198
Mira Sorvino,tt0120008,tt0113819,tt0120032,tt0364343
Kevin Spacey,tt0169547,tt0119488,tt0114814,tt0114369
Sylvester Stallone,tt3076658,tt0075148,tt0089927,tt0084602
Sharon Stone,tt0112641,tt0114214,tt0108162,tt0103772
Uma Thurman,tt0110912,tt0266697,tt0118688,tt0378194
Jennifer Tilly,tt0109348,tt0387575,tt0115736,tt0144120
John Travolta,tt0110912,tt0076666,tt0077631,tt0113161
Shannon Tweed,tt0112942,tt0165710,tt0110675,tt0094834
Liv Tyler,tt0120737,tt0482606,tt0167260,tt0120591
Skeet Ulrich,tt0117571,tt0119822,tt0115963,tt0409572
Jean-Claude Van Damme,tt0119013,tt0101764,tt0092675,tt1130988
Denzel Washington,tt0168786,tt2671706,tt0139654,tt1037705
Sigourney Weaver,tt0118583,tt0499549,tt0177789,tt0078748
Robin Williams,tt0119217,tt0107614,tt0093105,tt0077053
Bruce Willis,tt0088571,tt0095016,tt0167404,tt0110912
James Woods,tt0120877,tt0119282,tt0159097,tt0086541
Renée Zellweger,tt0116695,tt0299658,tt0243155,tt0159365
Timothy Dowling,tt0181852,tt0430922,tt1596350,tt2120120
Robert Ellis,tt0030778,tt0006213,tt0010781,tt0030738
Isabelle Adjani,tt0094828,tt0090095,tt0082933,tt0110963
